tweet_text	label_text	cleaned_text_bert	cleaned_text_bertweet
Cyclone Mora : 4 killed in Manipur, 140 houses destroyed in Mizoram :: https://t.co/dMlEngezZ4 https://t.co/NIeyQeLkwt	affected_individuals	Cyclone Mora : 4 killed in Manipur, 140 houses destroyed in Mizoram ::	Cyclone Mora : 4 killed in Manipur, 140 houses destroyed in Mizoram :: https://t.co/dMlEngezZ4 https://t.co/NIeyQeLkwt
#FloodSL please help flood victims of #srilanka https://t.co/yLSUKBGsck	rescue_volunteering_or_donation_effort	FloodSL please help flood victims of srilanka	#FloodSL please help flood victims of #srilanka https://t.co/yLSUKBGsck
Mora staff sending off their retirees! Thank you for all of your service to our students. #moraschools https://t.co/Y0R7raSVjf	not_humanitarian	Mora staff sending off their retirees! Thank you for all of your service to our students. moraschools	Mora staff sending off their retirees! Thank you for all of your service to our students. #moraschools https://t.co/Y0R7raSVjf
RT @ranukad: Never judge a book by its cover á½„Fâ¤ï¸á½¤F #FloodSL #FloodRelief #SriLanka https://t.co/X0LPcgE5uX	not_humanitarian	Never judge a book by its cover ὄF red_heart ὤF FloodSL FloodRelief SriLanka	Never judge a book by its cover ὄF❤️ὤF #FloodSL #FloodRelief #SriLanka https://t.co/X0LPcgE5uX
RT @ihcdhaka: The 33 survivors of #CycloneMora rescued by #INSSumitra return Home. https://t.co/GypdL6SfZL	rescue_volunteering_or_donation_effort	The 33 survivors of CycloneMora rescued by INSSumitra return Home.	The 33 survivors of #CycloneMora rescued by #INSSumitra return Home. https://t.co/GypdL6SfZL
RT @ndtv: Indian Navy teams join Sri Lanka flood rescue ops as toll reaches 193 https://t.co/ltXGfTu3QA https://t.co/T6DI5FdgVO	rescue_volunteering_or_donation_effort	Indian Navy teams join Sri Lanka flood rescue ops as toll reaches 193	Indian Navy teams join Sri Lanka flood rescue ops as toll reaches 193 https://t.co/ltXGfTu3QA https://t.co/T6DI5FdgVO
Chinese companies continue assisting #SriLanka flood victims (Photos: Xinhua) https://t.co/9XOSZYtZmC https://t.co/OCH6aoO7II	rescue_volunteering_or_donation_effort	Chinese companies continue assisting SriLanka flood victims (Photos: Xinhua)	Chinese companies continue assisting #SriLanka flood victims (Photos: Xinhua) https://t.co/9XOSZYtZmC https://t.co/OCH6aoO7II
Snapchat me y'all @ anna.mora https://t.co/JnHap9FFol	not_humanitarian	Snapchat me y'all @ anna.mora	Snapchat me y'all @ anna.mora https://t.co/JnHap9FFol
#Veyangalla, a village heavily affected by recent #floodSL in #Kalutura district, today situation #lka #SriLanka https://t.co/6CeIHdffw9	infrastructure_and_utility_damage	Veyangalla, a village heavily affected by recent floodSL in Kalutura district, today situation lka SriLanka	#Veyangalla, a village heavily affected by recent #floodSL in #Kalutura district, today situation #lka #SriLanka https://t.co/6CeIHdffw9
Chinese cargo plane delivers relief to flood-hit #SriLanka . https://t.co/ZLS2Dd8s71 https://t.co/LdMWn2VIeY	rescue_volunteering_or_donation_effort	Chinese cargo plane delivers relief to flood-hit SriLanka .	Chinese cargo plane delivers relief to flood-hit #SriLanka . https://t.co/ZLS2Dd8s71 https://t.co/LdMWn2VIeY
"RT @giannimmora: ARCHIVE GIANNI MORA ""TACTICAL"" HOODIE AND ""WARNING"" CARDIGAN (CIRCA 2015) https://t.co/QQc6dB6sEN"	not_humanitarian	"ARCHIVE GIANNI MORA ""TACTICAL"" HOODIE AND ""WARNING"" CARDIGAN (CIRCA 2015)"	"ARCHIVE GIANNI MORA ""TACTICAL"" HOODIE AND ""WARNING"" CARDIGAN (CIRCA 2015) https://t.co/QQc6dB6sEN"
@TNAmediaoffice ITAK delegation handed over relief to those affected by #FloodSL in Ratnapura-pics by: Yarl Theepan https://t.co/jUFhscji9k	rescue_volunteering_or_donation_effort	ITAK delegation handed over relief to those affected by FloodSL in Ratnapura-pics by: Yarl Theepan	@TNAmediaoffice ITAK delegation handed over relief to those affected by #FloodSL in Ratnapura-pics by: Yarl Theepan https://t.co/jUFhscji9k
Something you can not see him doing this oftenly @RajapaksaNamal á½ŠAá½ŠAá½„Fá½„Fá½„Fá½„Dá½„D #FloodSL https://t.co/eRITmTK4K8	not_humanitarian	Something you can not see him doing this oftenly ὊAὊAὄFὄFὄFὄDὄD FloodSL	Something you can not see him doing this oftenly @RajapaksaNamal ὊAὊAὄFὄFὄFὄDὄD #FloodSL https://t.co/eRITmTK4K8
US soldiers cleaning flood damaged schools #SriLanka https://t.co/wYy8Mx9Ga4 https://t.co/vzLRlNQ2mF	rescue_volunteering_or_donation_effort	US soldiers cleaning flood damaged schools SriLanka	US soldiers cleaning flood damaged schools #SriLanka https://t.co/wYy8Mx9Ga4 https://t.co/vzLRlNQ2mF
Sine Mora 20â‚¬ PS4/One 28â‚¬ Switch #PS4 #XboxOne #PSVITA #PC #Switch #Nintendo https://t.co/tryL9Okpei https://t.co/HzdWGa2dT0	not_humanitarian	Sine Mora 20€ PS4/One 28€ Switch PS4 XboxOne PSVITA PC Switch Nintendo	Sine Mora 20€ PS4/One 28€ Switch #PS4 #XboxOne #PSVITA #PC #Switch #Nintendo https://t.co/tryL9Okpei https://t.co/HzdWGa2dT0
What's next at Voice Foundation #lka #FloodSL if you wish to help out, contact Moses on 0772512374 https://t.co/kBFsS9cOsH	not_humanitarian	What's next at Voice Foundation lka FloodSL if you wish to help out, contact Moses on 0772512374	What's next at Voice Foundation #lka #FloodSL if you wish to help out, contact Moses on 0772512374 https://t.co/kBFsS9cOsH
Collectible items! Camera Horseman 970 with 2 lens https://t.co/3Yom0ikGE7 Mora #BBUK #wwdc2017 https://t.co/fVZ1Vp9X4b	not_humanitarian	Collectible items! Camera Horseman 970 with 2 lens Mora BBUK wwdc2017	Collectible items! Camera Horseman 970 with 2 lens https://t.co/3Yom0ikGE7 Mora #BBUK #wwdc2017 https://t.co/fVZ1Vp9X4b
Modded #Skyrim Build Idea - Champion of Hermaeus Mora Thoughts &amp; Suggestions? :) https://t.co/DlwTZYjcrw	not_humanitarian	Modded Skyrim Build Idea - Champion of Hermaeus Mora Thoughts & Suggestions? :)	Modded #Skyrim Build Idea - Champion of Hermaeus Mora Thoughts & Suggestions? :) https://t.co/DlwTZYjcrw
#INSSumitra arrives in #Yangon bearing assistance for communities affected by #CycloneMora in #Myanmar: @indiannavy https://t.co/lanf0WFOkv	rescue_volunteering_or_donation_effort	INSSumitra arrives in Yangon bearing assistance for communities affected by CycloneMora in Myanmar:	#INSSumitra arrives in #Yangon bearing assistance for communities affected by #CycloneMora in #Myanmar: @indiannavy https://t.co/lanf0WFOkv
#PakistanNavy providing relief goods to the #flood hit areas of #colombo during a #rescue operation #srilanka á¼Ÿ5á¼Ÿ0á¼Ÿ1á¼Ÿ0 https://t.co/NC1VgUamN3	rescue_volunteering_or_donation_effort	PakistanNavy providing relief goods to the flood hit areas of colombo during a rescue operation srilanka ἟5἟0἟1἟0	#PakistanNavy providing relief goods to the #flood hit areas of #colombo during a #rescue operation #srilanka ἟5἟0἟1἟0 https://t.co/NC1VgUamN3
what could i say mora than I ADORE JUNHOE DEEPLY https://t.co/VU2JZpkZtV	not_humanitarian	what could i say mora than I ADORE JUNHOE DEEPLY	what could i say mora than I ADORE JUNHOE DEEPLY https://t.co/VU2JZpkZtV
Stressed no more thanks to Dr. Jorge Mora's acupuncture workshop. â˜¯ #FIUMed https://t.co/JlGkITdLXE	not_humanitarian	Stressed no more thanks to Dr. Jorge Mora's acupuncture workshop. yin_yang FIUMed	Stressed no more thanks to Dr. Jorge Mora's acupuncture workshop. ☯ #FIUMed https://t.co/JlGkITdLXE
Dan Mora's Wonder Woman is giving me chills á½ D https://t.co/FwR0d5FMjZ	not_humanitarian	Dan Mora's Wonder Woman is giving me chills á1⁄2 D	Dan Mora's Wonder Woman is giving me chills á1⁄2 D https://t.co/FwR0d5FMjZ
"Helder Vices ""fake movie merch"" hooded sweatshirt https://t.co/wLF7StB6HQ https://t.co/2fFSE9uuWG"	not_humanitarian	"Helder Vices ""fake movie merch"" hooded sweatshirt"	"Helder Vices ""fake movie merch"" hooded sweatshirt https://t.co/wLF7StB6HQ https://t.co/2fFSE9uuWG"
Helder Vices logo silk shirt https://t.co/nDMsB6qQug https://t.co/ZZ8LfMMiUx	not_humanitarian	Helder Vices logo silk shirt	Helder Vices logo silk shirt https://t.co/nDMsB6qQug https://t.co/ZZ8LfMMiUx
Helder Vices tuxedo two tone denim https://t.co/oX8P9yYJje https://t.co/ttHfGGcFCX	not_humanitarian	Helder Vices tuxedo two tone denim	Helder Vices tuxedo two tone denim https://t.co/oX8P9yYJje https://t.co/ttHfGGcFCX
Swiming pool and nordic walk are @ONCOAVANZE projects explained by Matilde Mora in #CATCHITN #QoL #goodHabits https://t.co/dVlXsWA82d	not_humanitarian	Swiming pool and nordic walk are projects explained by Matilde Mora in CATCHITN QoL goodHabits	Swiming pool and nordic walk are @ONCOAVANZE projects explained by Matilde Mora in #CATCHITN #QoL #goodHabits https://t.co/dVlXsWA82d
Sri Lanka Flood Relief 2017 with Dhammakaya Foundation &amp; Dhammakaya Devotees and WBSY. https://t.co/woXroHccGp	not_humanitarian	Sri Lanka Flood Relief 2017 with Dhammakaya Foundation & Dhammakaya Devotees and WBSY.	Sri Lanka Flood Relief 2017 with Dhammakaya Foundation & Dhammakaya Devotees and WBSY. https://t.co/woXroHccGp
#Srilanka #Floods Seen From #Space https://t.co/5y7jtvE2Yk	not_humanitarian	Srilanka Floods Seen From Space	#Srilanka #Floods Seen From #Space https://t.co/5y7jtvE2Yk
Just had the most delicious meal at Scott Conant's restaurant Mora...so gooooood...á½ 0 https://t.co/QsX4dOsjjj	not_humanitarian	Just had the most delicious meal at Scott Conant's restaurant Mora...so gooooood...á1⁄2 0	Just had the most delicious meal at Scott Conant's restaurant Mora...so gooooood...á1⁄2 0 https://t.co/QsX4dOsjjj
Retweeted Kate Mora (@jedikat71): Can't have enough Khan on #BWBatch day! @CumberbatchSpam https://t.co/KZeO9RXVSM https://t.co/iCKYxuSYB9	not_humanitarian	Retweeted Kate Mora (): Can't have enough Khan on BWBatch day!	Retweeted Kate Mora (@jedikat71): Can't have enough Khan on #BWBatch day! @CumberbatchSpam https://t.co/KZeO9RXVSM https://t.co/iCKYxuSYB9
'Puravesi Athwela' humanitarian train travels from #Jaffna with flood relief #SriLanka https://t.co/3cV8zrk1CW https://t.co/PIN5MdVDMX	rescue_volunteering_or_donation_effort	'Puravesi Athwela' humanitarian train travels from Jaffna with flood relief SriLanka	'Puravesi Athwela' humanitarian train travels from #Jaffna with flood relief #SriLanka https://t.co/3cV8zrk1CW https://t.co/PIN5MdVDMX
RT @dxlukes: Mora by Dx #dxlukesphoto https://t.co/5F5pAV3u2J	not_humanitarian	Mora by Dx dxlukesphoto	Mora by Dx #dxlukesphoto https://t.co/5F5pAV3u2J
@Blaze_TFD But, does he get to touch Herbaeus Mora? NO! Therefore he knows not true love https://t.co/g8d9vrpAcs	not_humanitarian	But, does he get to touch Herbaeus Mora? NO! Therefore he knows not true love	@Blaze_TFD But, does he get to touch Herbaeus Mora? NO! Therefore he knows not true love https://t.co/g8d9vrpAcs
US Military Ship #USSLakeErie Has Arrived To Sri Lanka With 150 Military To Help Flood Effected People. #lka https://t.co/NNlidWplRh	rescue_volunteering_or_donation_effort	US Military Ship USSLakeErie Has Arrived To Sri Lanka With 150 Military To Help Flood Effected People. lka	US Military Ship #USSLakeErie Has Arrived To Sri Lanka With 150 Military To Help Flood Effected People. #lka https://t.co/NNlidWplRh
"Team Willowbrook ready for ""Perfect Service Monday""....all air verified ready to go...good job, Juan Mora.... https://t.co/vEPUSdmVmD"	not_humanitarian	"Team Willowbrook ready for ""Perfect Service Monday""....all air verified ready to go...good job, Juan Mora...."	"Team Willowbrook ready for ""Perfect Service Monday""....all air verified ready to go...good job, Juan Mora.... https://t.co/vEPUSdmVmD"
Happy birthday Mora!! á¼¸9 I still love you even though you hate me á¾“7á¼¿Dâ€â™€ï¸á½‰7 https://t.co/3jjASu44xJ	not_humanitarian	Happy birthday Mora!! Ἰ9 I still love you even though you hate me ᾓ7ἿD‍ female_sign Ὁ7	Happy birthday Mora!! Ἰ9 I still love you even though you hate me ᾓ7ἿD‍♀️Ὁ7 https://t.co/3jjASu44xJ
We believe a picture is worth a thousand words! Who are the #cancer survivors you know? Linda Mora &amp; Cindy Lovelace https://t.co/n64QqZpyXz	not_humanitarian	We believe a picture is worth a thousand words! Who are the cancer survivors you know? Linda Mora & Cindy Lovelace	We believe a picture is worth a thousand words! Who are the #cancer survivors you know? Linda Mora & Cindy Lovelace https://t.co/n64QqZpyXz
"Thanks, Mr. Mora (parent) for linking us to FDNY! Firefighters &amp; ""smokehouse"" teaches fire safety @PS162Q @D26Team https://t.co/WZFRhNdN7U"	not_humanitarian	"Thanks, Mr. Mora (parent) for linking us to FDNY! Firefighters & ""smokehouse"" teaches fire safety"	"Thanks, Mr. Mora (parent) for linking us to FDNY! Firefighters & ""smokehouse"" teaches fire safety @PS162Q @D26Team https://t.co/WZFRhNdN7U"
"Rick Mora as Haymitch Abernathy / ""here's some advice. stay alive."" https://t.co/kCAOe62DLf"	not_humanitarian	"Rick Mora as Haymitch Abernathy / ""here's some advice. stay alive."""	"Rick Mora as Haymitch Abernathy / ""here's some advice. stay alive."" https://t.co/kCAOe62DLf"
Flood biggest calamity which happened recently in Sri Lanka. @slhro done their duty. 2500 ltrs has been donated. https://t.co/VGcmDj8JPR	rescue_volunteering_or_donation_effort	Flood biggest calamity which happened recently in Sri Lanka. done their duty. 2500 ltrs has been donated.	Flood biggest calamity which happened recently in Sri Lanka. @slhro done their duty. 2500 ltrs has been donated. https://t.co/VGcmDj8JPR
#USSLakeErie continue to provide #SriLanka humanitarian aid and assistance in wake of #FloodSL #AroundTheFleet https://t.co/J1tSp7r9ip	rescue_volunteering_or_donation_effort	USSLakeErie continue to provide SriLanka humanitarian aid and assistance in wake of FloodSL AroundTheFleet	#USSLakeErie continue to provide #SriLanka humanitarian aid and assistance in wake of #FloodSL #AroundTheFleet https://t.co/J1tSp7r9ip
marina photographed by alex de mora for mtv district, 2012 https://t.co/CqO1JuPesm	not_humanitarian	marina photographed by alex de mora for mtv district, 2012	marina photographed by alex de mora for mtv district, 2012 https://t.co/CqO1JuPesm
This is Mora Stenar - Mora Stones - where all Swedish kings was chosen waaay back. Talking Viking-days https://t.co/DuEX6LiJxv	not_humanitarian	This is Mora Stenar - Mora Stones - where all Swedish kings was chosen waaay back. Talking Viking-days	This is Mora Stenar - Mora Stones - where all Swedish kings was chosen waaay back. Talking Viking-days https://t.co/DuEX6LiJxv
rumor mora - book: 27 hours by tristina wright https://t.co/DXYjFsXDKe	not_humanitarian	rumor mora - book: 27 hours by tristina wright	rumor mora - book: 27 hours by tristina wright https://t.co/DXYjFsXDKe
